Sentence,Sentiment_Num,,,,
에코프로·포스코퓨처엠·LG엔솔 일제히 상승…2차전지 관련주 강세 ,2,,,,
"""위기를 기회로""… 기아·LG전자 불황에 더 강했다",2,,,,
"LG엔솔, 배터리 핵심기술 산실 ‘머더라인’ 충북 오창에 만든다",2,,,,
‘배보다 큰 배꼽’ 실적으로 가시화… 배터리 뺀 LG화학 1분기 영업이익 70%감소,0,,,,
"LG엔솔, 미국에서 ‘신제품 ESS’ 이달 출시…“인버터 포함·출력 개선”",2,,,,
"LG에너지솔루션, 2차전지 조정에도…업종내 최선호주-신한",2,,,,
"LG엔솔, 북미시장 성장에 '깜짝실적'…IRA 세액공제도 수혜",2,,,,
"포스코퓨처엠, LG에너지솔루션과 7년간 30조원 규모 양극재 공급 계약",2,,,,
"임금인상도 그룹 '형님' 따라가네…삼성·LG, 올해 얼마 오르나",1,,,,
"구광모 ""양극재는 LG의 미래 성장동력""",2,,,,
"LG에너지솔루션, 1분기 영업익 144.6%증가…6332억",2,,,,
" LG엔솔 ""중국  배터리 기업 미국 우회 진출 예의 주시""",1,,,,
"포스코퓨처엠, LG엔솔과 30조 규모 계약…양극재 누적 수주 90조 돌파",2,,,,
"LG엔솔 오창 에너지플랜트, 자원 선순환 '앞장'",2,,,,
"포스코퓨처엠, LG엔솔 하이니켈 양극재 30조원 수주",2,,,,
"배터리 개발·검증 국내서..LG엔솔, 오창 마더팩토리化 가속도",2,,,,
LG엔솔 1분기 영업익 6332억원…전년 대비 144.6% 증가,2,,,,
"LG엔솔, 오창 에너지플랜트에 6000억 투자…‘마더라인’ 건설",1,,,,
"LG엔솔, 1분기 영업익 144.6%증가…""IRA 세액공제 1천억 반영""",2,,,,
"LG엔솔, 오창 에너지플랜트 ‘마더 팩토리’ 건설",2,,,,
"LG엔솔, 오창 에너지플랜트에 글로벌 기술 허브 구축",2,,,,
"LG엔솔, 북미시장 성장세에 '깜짝실적'…IRA 세액공제 수혜도",2,,,,
"LG엔솔, 오창 ‘마더 팩토리’ 구축에 6000억 투자",1,,,,
"“차세대 배터리 모태로 거듭난다”… LG에너지솔루션, 오창 신규 마더라인 구축에 6000억 투입",1,,,,
LG엔솔 1분기 영업익 6천332억원…IRA 세액공제 덕 '깜짝실적',2,,,,
"LG엔솔, 6천억 들여 오창공장 '마더라인' 증설…파우치형 롱셀 양산 검증",2,,,,
" LG엔솔, IRA 세액공제 효과로 '사상 최대' 실적 행진",2,,,,
"포스코퓨처엠, LG에너지솔루션과 30조 규모 양극재 공급계약 체결",2,,,,
"LG엔솔, 분기 최대 실적 IRA 세액공제 효과 '톡톡'",2,,,,
"오창 공장에 6000억 투자 LG엔솔, '마더 라인' 구축한다",1,,,,
"LG에너지솔루션, '오창 에너지플랜트'에 6천억원 투자…'마더 라인' 구축",2,,,,
" 포스코퓨처엠, LG엔솔과 양극재 30조 원 공급 계약",2,,,,
"LG엔솔, 오창에 배터리 ‘마더 라인’ 구축",2,,,,
"LG엔솔, 국내에 차세대 배터리 `마더 라인` 구축",2,,,,
"포스코퓨처엠, LG엔솔에 30조원 규모 양극재 공급...대형 호재 불구 주가는 약세",1,,,,
"LG엔솔, 오창 에너지플랜트에 6천억 투자…'마더 라인' 구축",1,,,,
"포스코퓨처엠, LG엔솔과 30조원 규모 양극재 공급 계약",2,,,,
"LG화학, 1분기 영업익 7910억…석유화학 부진 지속",2,,,,
"LG엔솔, 오창 에너지플랜트에 6000억 투자…글로벌 기술 허브 만든다",1,,,,
"포스코퓨처엠, LG에너지솔루션 하이니켈 양극재 30조 원 수주",2,,,,
IRA 규제에도 오히려 날았다…LG에너지솔루션 분기 최대 실적 거둬,2,,,,
"포스코퓨처엠, LG에너지솔루션에 30조원 양극재 공급 계약",2,,,,
"""기대보다 더 좋다""…깜짝 실적 LG엔솔, 주가도 쑥쑥",2,,,,
"포스코퓨처엠, '30조 잭팟'…LG에너지솔루션 양극재 수주",2,,,,
포스코퓨처엠 30조원어치 양극재 LG에너지솔루션에 공급한다,2,,,,
"LG엔솔, 배터리 생산공장 기술 허브 '마더 팩토리' 오창 에너지플랜트에 구축",2,,,,
"LG엔솔, 1분기 영업익 전년비 145%증가…북미 공략 성공적",2,,,,
"LG화학, 1분기 영업이익 7910억원…전년 비교  23%감소",0,,,,
LG화학 1Q 영업익 23% 감소..석유화학 부진 여파,0,,,,
"포스코퓨처엠, LG엔솔에 양극재 30兆 공급",2,,,,
"LG엔솔, 북미시장 성장세에 '깜짝실적'…""IRA로 중국 대비 유리""",2,,,,
"디에이테크, LG엔솔과 98억 규모 원통형 배터리 수주 계약",2,,,,
"포스코퓨처엠, LG엔솔에 7년간 하이니켈 양극재 30조원 규모 공급한다",2,,,,
"포스코퓨처엠, LG엔솔과 30조 규모 양극소재 공급계약 체결",2,,,,
"40조 이어 30조 잭팟…포스코퓨처엠, LG엔솔 하이니켈 양극재 수주",2,,,,
"LG에너지솔루션, 계속 확대될 수익성-다올",2,,,,
"LG에너지솔루션, 1Q 영업익 큰 폭 증가…AMPC 효과 반영-IBK",2,,,,
" LG엔솔 ""올해 매출 30% 이상 성장 전망""",2,,,,
"포스코퓨처엠, LG에너지솔루션 하이니켈 양극재 30조 원 수주",2,,,,
"LG엔솔, 1분기 매출 8조7천억·영업이익 6천300억원 달성…전년 대비 두 배 껑충",2,,,,
"LG엔솔 ""LFP배터리 시장 확대 가능성 파악…ESS에 우선 적용 목표""",1,,,,
"포스코퓨처엠, LG엔솔에 7년간 30조원 규모 양극재 공급계약",2,,,,
"결국 주춤한 ‘맏형’ LG화학, ""혹한기에도 미래 투자 계속"" ",1,,,,
"포스코퓨처엠, LG엔솔에 양극재 30조원 추가 공급",2,,,,
"LG엔솔 “오창 ‘마더팩토리’ 6000억원 투자, 배터리 기술 허브로”",1,,,,
"포스코퓨처엠, 하이니켈 양극재 30조원 수주…LG엔솔 수주 52조원 넘어",2,,,,
"삼성SDI는 미국 에 4조, LG엔솔은 한국에 6000억…계속되는 ‘K배터리’ 투자",1,,,,
"LG에너지솔루션, 1분기 영업익 144.6%증가…6332억",2,,,,
"디에이테크놀로지, 2차전지 장비 수주 행진…LG엔솔과 공급 계약",2,,,,
"포스코퓨처엠, LG엔솔과 '30조원' 규모 양극재 공급계약 체결",2,,,,
"LG엔솔, 북미 선점·실적 신기록 행진",2,,,,
"미국  보조금 받는 전기차 22종…LG엔솔 배터리, 절반 휩쓸어",2,,,,
"영입익144%' 증가LG에너지솔루션, 장중 1.8% 상승",2,,,,
"포스코퓨처엠, LG엔솔과 '30조 규모' 양극재 공급계약 체결",2,,,,
LG엔솔 '배터리 양산 리더십' 강화… 오창에 마더라인 구축,2,,,,
"메리츠증권  ""LG화학, 1분기 전 사업부문 서프라이즈 달성""",2,,,,
 포스코퓨처엠·LG엔솔 양극재 동맹,2,,,,
"""LG엔솔, 1분기 어닝 서프라이즈... 업종 내 최선호주"" - 다올",2,,,,
"LG엔솔 '1경 주문' 과거 속으로…금융위 ""기관 '돈 낼 능력' 확인 강화""",2,,,,
자동차 ·배터리 호조… 기아·LG엔솔 1분기 최대실적,2,,,,
"디에이테크, LG엔솔과 98억원 원통형 배터리 장비 수주 계약",2,,,,
"LG에너지솔루션, 1분기 영업익 6332억…144.6%증가",2,,,,
현대차 미국  법인 순이익 147.9% '껑충'… 삼성·SK·LG는 '주춤',1,,,,
"LG엔솔, 오창 에너지플랜트 차세대 생산 라인에 6000억 원 투자",1,,,,
LG에너지솔루션 1분기 영업익 6천332억원…작년동기비 144.6%증가,2,,,,
" LG화학, 1분기 영업이익 7910억원…전년대비 22.8% 감소",0,,,,
현대차·'K배터리' 미국  합작 IRA 정면 돌파 …LG엔솔 협력설도 '솔솔',2,,,,
"LG화학 1분기 영업이익 7,910억 원…신사업 호조로 선방",2,,,,
"LG엔솔, 1분기 영업익 6332억…전년비 144.6% 증가",2,,,,
현대차와 K드림팀 띄운다...LG엔솔·SK온 미국  공략 강화,2,,,,
"LG엔솔, 오창에 ‘마더 라인’ 구축 6000억 투자",1,,,,
"LG엔솔, 오창 '마더팩토리' 6000억 투자…“배터리 컨트롤 타워로”",1,,,,
LG화학 1분기 영업익 작년 동기보다 22.8%감소…신사업호조로 선방,0,,,,
" LG에너지솔루션 ""EV향 LFP배터리 개발 검토중""",1,,,,
"LG에너지솔루션, 1분기 영업이익 6332억원",1,,,,
"LG엔솔 ""올해 매출 전년비교  30% 상승…원재료 판가 연동 작업 마무리""",2,,,,
포스코퓨처엠 “LG엔솔에 7년간 30조 양극재 공급”,2,,,,
"디에이테크놀로지, LG엔솔과 98억 원통형 배터리 장비 수주 계약",2,,,,
1분기 시총 '1조클럽' 258곳… 삼성전자 50조·LG엔솔 32조 증가,2,,,,
"“유럽 CRMA 요건 충족, 큰 무리 없을 것”-LG엔솔 컨콜",2,,,,
" ① 현대차, 미국  분위기 반전 필수…LG엔솔·SK온 동맹 관건 ",1,,,,
"LG엔솔, 북미 선점·실적 신기록 행진···‘권영수 리더십’ 통했다",2,,,,
“전기차용 LFP 배터리 진출 검토...고성능 제품 개발”-LG엔솔 컨콜,1,,,,
"LG화학, 중국  화유코발트 JV 불확실성 대응...“지분 100% 인수 고려” ",1,,,,
LG화학 1Q 매출 24.9%증가 영업익 22.8%감소…석유·배터리 희비교차,1,,,,
"LG에너지솔루션, 미국 서 'BTC' 채용행사 개최",2,,,,
LG에너지솔루션 1분기 영업익 6332억원···사실상 역대 최대치,2,,,,
"디에이테크놀로지, LG엔솔과 98억 규모 공급 계약…주가 10% '급등'",2,,,,
"LG화학, 석화부문 손실 지속...영업익 22.8% 줄었다",0,,,,
"LG에너지솔루션, 미국  샌프란시스코서 인재 채용 행사",2,,,,
"나인테크, 97억원 장비 계약…LG엔솔 납품",2,,,,
대기업 시총 올 들어 253조 불어…증가액 삼성·LG 이어 에코프로가 3위,2,,,,
"LG에너지솔루션, 인재 확보 위해 주요경영진 미국행",2,,,,
"MIT·스탠포드도 줄선다…LG에너지솔루션, 글로벌 인재 채용 행사",2,,,,
"""글로벌 인재 선점""…LG에너지솔루션, 미국 서 'BTC' 채용행사",2,,,,
"LG화학 1분기 영업익, 신사업 호조로 선방",2,,,,
 IRA 이후 협업 요청 쏟아지는 LG엔솔,2,,,,
"에코프로 형제' 시총 3개월새 22조원증가..삼전·LG엔솔 이어 나란히 3,4위",2,,,,
"디에이테크놀로지, 98억 규모 LG엔솔 설비 공급에 강세",2,,,,
LG에너지솔루션 1분기 영업익 6332억원…전년비교  144.6% 증가,2,,,,
" LG에너지솔루션 ""메탈가 변동, 수익성 영향은 미미""",1,,,,
 브라질에서 LG에너지솔루션에 보낼 리튬 캐는 캐나다의 광산 업체,2,,,,
"아바코, LG엔솔에 신형 배터리 장비 공급 가시화 소식에 강세",2,,,,
"LG화학도 뛰어들었다…""배터리보다 더 돈 된다""는 이 시장",2,,,,
"파나소닉, 미국에 세 번째 공장 짓는다…LG엔솔과 '배터리 혈전'",2,,,,
"LG에너지솔루션, 미국  우수인력 확보 위해 경영진 총출동",2,,,,
"현대차, 이르면 다음주 LG엔솔-SK온과 미국  합작공장 의결",2,,,,
" LG에너지솔루션 ""IRA 수혜 규모 지속적으로 증가할 것""",2,,,,
"포스코퓨처엠, LG에너지솔루션과 30조2595억 규모 공급계약 체결",2,,,,
"LG화학, 1분기 영업익 7910억…전년비교  22.8%감소",0,,,,
"LG화학, 1분기 영업이익 7910억원…전년 비교  22.8%감소",0,,,,
"""오창서 만든 차세대 기술 전 세계로 이식""...LG에너지솔루션, 6000억 들여 '엄마 공장' 짓는다",1,,,,
"LG에너지솔루션, 미국  IRA 규정 5.8조 세제 혜택…대신증권 “목표가 75만원”",2,,,,
"AI 투자 늘리는 LG, 올해만 스타트업 4곳 발굴",2,,,,
"LG엔솔, IRA 혜택 가시화...영업익 144.6% 증가",2,,,,
"""예상보다 더 좋다""…LG엔솔 영업익 145% 증가 '서프라이즈'",2,,,,
꿈의 배터리' 누가 먼저 깃발 꽃나..LG-삼성-SK 3파전 가열,1,,,,
"IRA혜택 시작됐다...LG엔솔, 1분기 폭풍 성장",2,,,,
"LG엔솔 ""중국 업체 미국 진출 쉽지 않을 것…전기차용 LFP 검토 중""",0,,,,
"LG엔솔, 1분기 영업익 6332억원… 전년 비교  144.6%증가",2,,,,
양극재 타고 날아오른 LG화학·포스코퓨처엠,2,,,,
"LG에너지솔루션, 미국 서 석·박사 인재 채용 행사 열어",2,,,,
"LG엔솔, 1Q 영업익 145% 증가… 미국  IRA 세액 공제 1003억원 반영 ",2,,,,
"LG에너지솔루션, 1분기 영업익 6332억원...전년 동기 대비 144.6% 증가",2,,,,
"LG에너지솔루션, 미국  우수 인재 확보에 경영진 총출동",2,,,,
"SK·삼성 '전고체 드라이브', LG '문제는 가격'…배터리 3사 '동상이몽'",1,,,,
"""LG화학 주가 100만원 간다""…증권가 '장밋빛 전망' 이유는",2,,,,
"LG엔솔, 1분기 매출 8.7조 ‘역대 최대’…IRA 세제 1003억 반영",2,,,,
"LG엔솔, IRA 혜택 1천억 반영…1분기 영업익 144.6%증가",2,,,,
" LG엔솔 ""미국  다수 기업서 협력 요청…추가 수주 기대""",2,,,,
반도체 쇼크' 삼성전자의 굴욕…LG전자·엔솔에 영업익 밀려,0,,,,
"①균형의 아이콘, LG에너지솔루션 ",1,,,,
리튬인산철 배터리 개발 본격화…세계 최고 에너지밀도 목표,2,,,,
"고공비행 LG에너지솔루션, 올해 1분기에 지난해 영업이익 절반 거둬",2,,,,
신학철은 계획이 다 있었다…LG화학 ‘이유 있는’ 주가 반등,2,,,,
"LG화학, 1분기 영업이익 7910억원...전년비 22.8%감소",0,,,,
"LG엔솔, 1분기 영업이익 2배 급증",2,,,,
"LG에너지솔루션 ""글로벌 인재 영입하겠다""…채용 행사 BTC 개최",2,,,,
"포스코퓨처엠, 1달 새 LG·삼성 위해 1조원 쐈다 ",2,,,,
LG·GM·삼성 '연결고리' 포스코퓨처엠…1년 만에 92조 수주 ,2,,,,
LG엔솔 1분기 영업익 6천332억원…IRA 세액공제 1천3억원 반영,2,,,,
"LG엔솔, 올 1분기 영업이익 6332억원…전년 비교  144.6%증가",2,,,,
"디에이테크놀로지, LG엔솔에 98억원 규모 제조설비 공급",2,,,,
"‘어린이날은 엄마·아빠 회사에서...’ LG·삼성 등, 임직원 자녀 초청 행사",2,,,,
"LG에너지솔루션 깜짝 실적의 비밀, 'AMPC' 뭐길래",2,,,,
"LG엔솔, 미국에서 채용 행사 연 사연은",2,,,,
"LG에너지솔루션, 1분기 영업익 144.6%증가…6332억",2,,,,
" LG에너지솔루션 ""IRA 시행으로 미국  현지 메이저 고객사로부터 러브콜""",2,,,,
"LG화학, 1분기 영업익 7910억…전년비교  22.8%감소",0,,,,
"""LG엔솔, 미국  IRA 세액공제 수혜 3년간 5.8조원""",2,,,,
" LG에너지솔루션 ""올해 말까지 오창 마더라인서 4680 대규모 생산 체제 구축""",1,,,,
" 포스코퓨처엠, LG에너지솔루션과의 협력 관계 강화 기대",2,,,,
"LG엔솔, 미국  현지서 '글로벌 인재 채용' 행사 개최",2,,,,
LG에너지솔루션 1분기 영업익 6332억 원…전년비교  145%증가,2,,,,
"""글로벌 인재 선점""…LG엔솔, 미국  샌프란시스코서 '배터리 기술 컨퍼런스' 열어",2,,,,
"현대차, SK온·LG엔솔과 미국 배터리 합작공장 짓는다",2,,,,
"LG에너지솔루션, 사내 독립기업 육성, 배터리·에너지 사업 확대",2,,,,
"LG화학, 80만 원 찍었다…코스피 시총 4위 등극",2,,,,
LG엔솔 1분기 영업익 6332억원 '깜짝' 실적,2,,,,
"LG엔솔, 올 1분기에 지난해 영업익의 절반 벌어",0,,,,
"""땡큐 IRA""...LG엔솔·SK온 올해 추정 세금 혜택만 1조5000억",2,,,,
"디에이테크놀로지, 현대차-LG엔솔 인니공장에 장비 출하",2,,,,
"LG화학, 1Q 영업익 7910억 전년비교  23%감소…""석화 부진 지속""",0,,,,
" LG에너지솔루션, AMPC 세액공제 효과 상당할 것으로 증권가 '주목'",2,,,,
LG엔솔 매출·영업익 2배 껑충,2,,,,
"LG엔솔, 글로벌 우수 인재 채용 'BTC' 개최",2,,,,
"LG에너지솔루션 1분기 '깜짝 실적'...매출 9조 육박, 영업이익 167% 증가",2,,,,
LG에너지솔루션 1분기 영업익 6332억원…작년 대비 144.6% 증가,2,,,,
IRA 수혜'로 웃는 LG엔솔·SK온... 올 보조금 혜택 1조5000억 넘어,2,,,,
" 로봇·태양광에 몰리는 수급…한화솔루션 매수 2위, 1위는",2,,,,
"LG화학, 1분기 영업익 7910억 원…전년비 22.8%감소",0,,,,
"LG엔솔, 미국 애리조나 주지사 회동…퀸크릭공장 착공 준비",2,,,,
LG엔솔 1분기 영업익 6332억원…IRA 세액공제 1003억원 반영,2,,,,
"IRA 수혜' LG엔솔, 1분기 영업익 6332억…전년비 145%증가",2,,,,
"LG화학, 중국 절강화유코발트와 새만금에 1조2000억 투자",2,,,,
"석유화학 사업 적자에…LG화학, 1분기 영업익 22.8%감소",0,,,,
"LG엔솔, 미국 서 주요 대학·연구소 석·박사 대상 채용행사 열어",2,,,,
"LG엔솔, '수산화리튬' 확보 총력… 하이니켈 배터리 공급망 구축",2,,,,
IRA 수혜' LG엔솔 1분기 '역대 최대' 실적…벌써 반년치 영업익,2,,,,
LG엔솔 1분기 영업이익 6천332억원…작년 동기 대비 144.6% 증가,2,,,,
 권영수 LG에너지솔루션 부회장 | 가는 곳마다 혁신…투자도 소통도 No.1,2,,,,
어닝시즌 동안 목표주가 가장 많이 오른 기업은 LG엔솔·삼성·LG전자,2,,,,
"LG화학, 1분기 영업이익 7910억…""신사업 호조로 선방""",2,,,,
LG엔솔 1분기 영업이익 145%증가…“IRA법 세액공제로 천억 원 이익”,2,,,,
LG엔솔 1분기 영업익 144.6% 증가… 미국 생산 1000억원 보조금,2,,,,
"일본  파나소닉, 미국에 새 배터리 공장 설립 추진... LG엔솔과 ‘한판 승부’ 예고",2,,,,
"LG화학, 1분기 영업익 7910억…전년비 22.8%감소",0,,,,
프리미엄 제품이 불황 뚫었다… LG전자 1분기 영업익 1.5조,2,,,,
"LG화학, 1분기 영업이익 7901억...전년비교  22.8% 감소",0,,,,
"대신증권 ""LG엔솔, AMPC 수혜 3년간 5.8조…목표가 상향""",2,,,,
"현대차, 25일 ‘SK온·LG엔솔과 미국  합작법인 설립’ 이사회 안건 상정",1,,,,
"삼성전자·LG전자·엔솔, 오늘 1분기 잠정 실적 발표",1,,,,
"이차전지는 달랐다...LG에너지솔루션, 1분기 영업이익 6332억 원으로 '사상 최대'",2,,,,
"‘2차전지 소재주식 변신’ LG화학, 엔솔 분사 후 다시 100만원 넘을 수 있을까 ",1,,,,
"‘최대 실적’ LG엔솔, 인재 찾아 해외로…“글로벌 리더 굳힌다”",2,,,,
LG에너지솔루션 “2030년에는 지름 46㎜ 원통형 배터리가 뜬다”,1,,,,
" LG에너지솔루션, 1분기 영업익 6332억…전년비 144.6% 증가",2,,,,
"LG엔솔, 영업익 145%증가 ‘어닝 써프라이즈’…IRA 수혜 1000억",2,,,,
"“LG화학, 배터리 기업 입지 다져”...목표가 상향",2,,,,
"""글로벌 인재 선발""… LG엔솔, 미국 서 채용 행사 열어",2,,,,
"LG엔솔, 1분기 영업익 6332억원...전년 비 144.6% 증가",2,,,,
‘엔솔 IRA 효과’에도...LG화학 영업익 22.8% 줄어,0,,,,
LG엔솔 영업이익 2.4배 급증 '깜짝 실적',2,,,,
"기업이 희망하는 핵심 인재는… 공감하는 감성, 챗GPT 운용, 긍정 에너지, 질문 던지는 힘…",1,,,,
4대그룹 시가총액 지각변동…‘엔솔 효과’로 2위 꿰찬 LG,2,,,,
"미국  IRA 혜택' 벌써 시작…1000억원 추가한 LG엔솔, 역대급 실적",2,,,,
"LG엔솔, 1Q 영업익 6332억원...전년비교  144% 증가",2,,,,
"LG엔솔, 1분기 날았다…영업이익 144% 증가",2,,,,
"LG화학, 1분기 영업익 7910억…전년비 22.8% 감소",0,,,,
"LG엔솔 떼넨 LG화학, 이차전지 소재 '집중 전략' 통할까",1,,,,
"NH투자, LG엔솔·LG화학 목표가증가…""미IRA 혜택 실적 반영""",2,,,,
LG화학 1분기 매출 14조4863억원,2,,,,
"LG엔솔, 북미 업고 1분기 '퀀텀점프'",2,,,,
"LG엔솔, 1분기 영업이익 6332억원…전년비교  144.6%증가",2,,,,
"""MIT·스탠포드도 찾았다""…LG엔솔, 미국  인재 확보에 경영진 총출동",2,,,,
"""LG엔솔, IRA 세액공제 효과 최소 5조8000억원""",2,,,,
"“올해는 LG엔솔만 활짝”…SK온·삼성SDI, IRA 수혜는 2년 뒤에나",1,,,,
"MIT·스탠퍼드·UCLA·퍼듀 졸업생도 찾아왔다…LG엔솔, 인재 찾으러 미국행",2,,,,
"디에이테크, 현대차-LG엔솔 인도네시아향 제트 스태킹 장비 출하",2,,,,
"LG엔솔, 1분기 영업익 144.6% 증가…반년치 영업익 벌어",2,,,,
"글로벌 인재 확보 우선', LG엔솔 미국  현지서 'BTC' 행사 개최",2,,,,
"“IRA 세액공제 혜택도 반영” LG에너지솔루션, 분기 사상 최대 실적",2,,,,
"‘답은 현장에’…LG엔솔 권영수, 매주 공장 가는 이유",1,,,,
삼성전자·LG엔솔 1분기 잠정실적 오늘 발표···반도체 울고 배터리 웃고,1,,,,
"“IRA 시행 효과 톡톡”…LG엔솔, 1Q 영업익 166.7% 증가",2,,,,
LG화학 급등...IRA 수혜 등에 52주 신고가,2,,,,
LG 에너지솔루션 올해 1분기 영업이익 지난해보다 144% 증가,2,,,,
"제2의 에코프로? LG화학, 1년 5개월만에 80만원 돌파",2,,,,
"LG화학, 중국 절강화유코발트와 손잡고 새만금 전구체 공장 건립에 1조2000억 투자",1,,,,
"LG화학, 1분기 영업이익 7천910억원…석유화학 부진에 '뒷걸음질'",0,,,,
"LG엔솔 경영진, 인재 찾아 미국으로 총출동…“높은 성장성·선진 문화 장점”",2,,,,
"LG엔솔, 캐릭터 '엔솔이' 굿즈 온라인 판매 시작",1,,,,
"LG화학, 배터리 관련 기업 입지증가…목표가 94만에서 106만 -한국투자",2,,,,
상품성으로 불황 뚫었다… LG전자·엔솔 1분기 실적 선방,2,,,,
테슬라 ‘치킨게임’ 유탄 맞은 에코프로·LG엔솔 ‘줄줄’,0,,,,
" ""국산 전구체로 밸류체인 강화""…LG화학, 배터리 약한고리 끊는다",2,,,,
52주 신고가 달성한 ‘LG화학’...“미국  IRA 수혜 기대감” ,2,,,,
삼성·SK·현대차·LG 재고자산 187조 돌파,2,,,,
"LG, 인공지능 스타트업 '광폭 투자' 나선 이유는? ",1,,,,
" 디에이테크놀로지, LG에너지솔루션과 약 98억원 규모 공급계약",2,,,,
"구광모의 선구안, LG의 진격 이끌었다",2,,,,
LG엔솔 1분기 영업이익 6천332억원‥작년 동기 대비 144.6% 증가,2,,,,
"LG엔솔·삼성SDI, 전고체 배터리 두고 ""당분간 힘들다""vs""27년 양산""",1,,,,
"LG, 스마트팩토리·탄소저감 노하우 전수해",1,,,,
"LG화학, LFP 양극재 진출 추진…""새만금 JV 중국 지분 매입 검토""",1,,,,
"LG에너지솔루션, 26일 기업설명회",1,,,,
"100만원 넘길까… 증권가, LG화학 목표주가 잇단 상향",2,,,,
"LG화학 여수공장, 청소년 소원 들어주는 '지니데이'",1,,,,
" 글랜우드PE, LG화학도 '눈독'…빛 발하는 카브아웃",1,,,,
"글랜우드PE, LG화학 진단사업 매각 우협 선정",1,,,,
"LG화학, 1분기 영업이익 7910억원…전년비교  22.8%감소",0,,,,
LG화학 진단사업부문 우협에 글랜우드PE,1,,,,
"LG화학, 석화부문 손실 지속...영업익 22.8% 줄었다",0,,,,
" 신학철 LG화학 부회장, 2030년 매출 60조원 달성한다",1,,,,
‘황제주’ 만드는 배터리 소재 그리고…진격의 LG화학,2,,,,
LG화학·포스코퓨처엠 '전기차 효과'…분기 최대 매출 '좋아좋아',2,,,,
"LG화학, 1분기 영업익 7910억…전년비교  22.8%감소",0,,,,
플라스틱 '무한 재활용' 현실로…LG화학 연구팀 일냈다,2,,,,
"LG화학, 1분기 영업이익 7910억원...전년비 22.8%감소",0,,,,
"LG화학 '스페셜티' 전담 사업부 꾸렸다…""석화 부진 돌파 승부수""",1,,,,
"LG화학 ""IRA 우려단체 규제 강화 때 중국  합작사 지분 조정""",1,,,,
"삼양홀딩스, LG화학과 항암신약 개발 파트너십 체결",1,,,,
LG화학 진단사업부문 매각 본입찰 3파전,1,,,,
"여수시·LG화학·항만공사, 저소득 청소년 치과치료 지원",1,,,,
양극재 타고 날아오른 LG화학·포스코퓨처엠,2,,,,
"메리츠증권  ""LG화학, 1분기 전 사업부문 서프라이즈 달성""",2,,,,
"LG화학 ""지속가능성에 기업의 미래가 있다""…모든 사업장 재생에너지로 전환 추진",1,,,,
